Wall time,Step,Value
1632341570.48288,0,1.997408151626587
1632341571.452971,0,5.050039291381836
1632341571.712457,0,1.650908350944519
1632341571.969321,0,1.772895097732544
1632341572.2267,0,1.94696044921875
1632341572.48712,0,2.5499446392059326
1632341572.746047,0,1.584317684173584
1632341573.007759,0,1.4981343746185303
1632341573.265287,0,1.3880188465118408
1632341573.521364,0,1.3656527996063232
1632341573.782207,0,1.564417839050293
1632341574.039617,0,1.5341615676879883
1632341574.296725,0,1.3459675312042236
1632341574.552954,0,1.3502991199493408
1632341574.80945,0,1.354820728302002
1632341575.065525,0,1.4162633419036865
1632341575.322917,0,1.5890731811523438
1632341575.580243,0,1.3828953504562378
1632341575.837278,0,1.6446681022644043
1632341576.092189,0,1.442040205001831
1632341576.3515,0,1.318621039390564
1632341576.607779,0,1.334362506866455
1632341576.866696,0,1.2835816144943237
1632341577.123757,0,1.2486228942871094
1632341577.679039,0,1.2628679275512695
1632341577.938331,0,1.2388367652893066
1632341578.192852,0,1.2502280473709106
1632341578.448311,0,1.2291468381881714
1632341578.705944,0,1.4335355758666992
1632341578.962878,0,1.455672025680542
1632341579.222905,0,1.4502277374267578
1632341579.479376,0,1.246894359588623
1632341579.736316,0,1.2368028163909912
1632341579.995575,0,1.430840015411377
1632341580.252217,0,1.4497058391571045
1632341580.509264,0,1.3998150825500488
1632341580.766954,0,1.2827496528625488
1632341581.022751,0,1.2046668529510498
1632341581.278408,0,1.3949346542358398
1632341581.533768,0,1.3034143447875977
1632341581.794269,0,1.3044242858886719
1632341582.051309,0,1.1890983581542969
1632341582.307628,0,1.2553319931030273
1632341582.564838,0,1.3130477666854858
1632341582.82214,0,1.219548225402832
1632341583.079275,0,1.3203086853027344
1632341583.334334,0,1.3744556903839111
1632341583.591436,0,1.3337643146514893
1632341584.131404,0,1.1639891862869263
1632341584.388746,0,1.3303921222686768
1632341584.648583,0,1.2502740621566772
1632341584.904877,0,1.214297890663147
1632341585.160478,0,1.1585323810577393
1632341585.418367,0,1.3074942827224731
1632341585.67313,0,1.2877285480499268
1632341585.931011,0,1.5829747915267944
1632341586.189265,0,1.5951905250549316
1632341586.444737,0,1.4800703525543213
1632341586.701532,0,1.4239675998687744
1632341586.958728,0,1.3545465469360352
1632341587.219769,0,1.6893339157104492
1632341587.476172,0,1.4789420366287231
1632341587.731627,0,1.4902448654174805
1632341587.988022,0,1.399428129196167
1632341588.242642,0,1.2882585525512695
1632341588.499828,0,1.261763095855713
1632341588.756757,0,1.342284917831421
1632341589.011754,0,1.3003618717193604
1632341589.268508,0,1.205678105354309
1632341589.525247,0,1.2767423391342163
1632341589.786805,0,1.137501835823059
1632341590.043227,0,1.0983688831329346
1632341590.57647,0,1.3079196214675903
1632341590.835139,0,1.179333209991455
1632341591.091953,0,1.4014856815338135
1632341591.351484,0,1.273893117904663
1632341591.608073,0,1.3029335737228394
1632341591.868701,0,1.3029800653457642
1632341592.124341,0,1.2165980339050293
1632341592.381096,0,1.3629841804504395
1632341592.639233,0,1.2942755222320557
1632341592.894543,0,1.0764398574829102
1632341593.150271,0,1.1805386543273926
1632341593.405232,0,1.1916077136993408
1632341593.660955,0,1.1622953414916992
1632341593.917138,0,1.382678747177124
1632341594.174143,0,1.2841432094573975
1632341594.430769,0,1.4489977359771729
1632341594.689175,0,1.3099145889282227
1632341594.945217,0,1.2368160486221313
1632341595.204275,0,1.291710615158081
1632341595.46072,0,1.218994379043579
1632341595.717439,0,1.3424415588378906
1632341595.974118,0,1.3576570749282837
1632341596.232038,0,1.1527397632598877
1632341596.488961,0,1.4020648002624512
1632341597.029177,0,1.1877973079681396
1632341597.287379,0,1.2857930660247803
1632341597.54494,0,1.2567607164382935
1632341597.806551,0,1.0164891481399536
1632341598.352297,1,1.0937837362289429
1632341598.609584,1,1.402441143989563
1632341598.867279,1,1.4354569911956787
1632341599.123676,1,1.2983238697052002
1632341599.380464,1,1.0739635229110718
1632341599.6368,1,1.2268083095550537
1632341599.893965,1,1.0579341650009155
1632341600.149978,1,1.0276271104812622
1632341600.406578,1,1.304882526397705
1632341600.662908,1,1.1630924940109253
1632341600.920099,1,1.2430591583251953
1632341601.176219,1,1.1797648668289185
1632341601.433712,1,1.18935227394104
1632341601.689911,1,1.2037230730056763
1632341601.946098,1,1.1269803047180176
1632341602.200992,1,1.430513858795166
1632341602.45493,1,1.5418293476104736
1632341602.710683,1,1.309389352798462
1632341602.964233,1,1.2135006189346313
1632341603.220608,1,1.1521828174591064
1632341603.766053,1,0.9939804673194885
1632341604.021073,1,1.118520736694336
1632341604.277986,1,1.0707778930664062
1632341604.534651,1,1.4363484382629395
1632341604.793445,1,1.3516372442245483
1632341605.049985,1,1.470665454864502
1632341605.305175,1,1.2178716659545898
1632341605.561657,1,1.1365478038787842
1632341605.818567,1,1.0513956546783447
1632341606.074855,1,1.1605571508407593
1632341606.33631,1,1.1336239576339722
1632341606.591922,1,1.1046268939971924
1632341606.848966,1,1.121019721031189
1632341607.105259,1,1.2646667957305908
1632341607.360671,1,1.3972657918930054
1632341607.617408,1,1.442336082458496
1632341607.872605,1,1.4664888381958008
1632341608.129147,1,1.5752043724060059
1632341608.387892,1,1.9372708797454834
1632341608.645852,1,1.8415542840957642
1632341608.904307,1,1.5797808170318604
1632341609.160166,1,1.5938751697540283
1632341609.413232,1,1.2665152549743652
1632341609.669713,1,1.3100388050079346
1632341610.202038,1,1.3442662954330444
1632341610.458407,1,1.3001599311828613
1632341610.715877,1,1.3422194719314575
1632341610.973623,1,1.279518485069275
1632341611.230219,1,1.1867378950119019
1632341611.486883,1,1.1525951623916626
1632341611.743214,1,1.1321446895599365
1632341611.999416,1,1.0949809551239014
1632341612.255842,1,1.332890510559082
1632341612.510661,1,1.1330482959747314
1632341612.765759,1,1.2151416540145874
1632341613.022343,1,1.0185414552688599
1632341613.278871,1,1.2856262922286987
1632341613.535017,1,1.129634141921997
1632341613.793697,1,1.3505465984344482
1632341614.04951,1,1.1179709434509277
1632341614.306137,1,1.2577955722808838
1632341614.561245,1,1.0797629356384277
1632341614.816448,1,1.3252646923065186
1632341615.072702,1,1.0488460063934326
1632341615.328448,1,1.280259370803833
1632341615.585003,1,1.1268088817596436
1632341615.842426,1,1.0954689979553223
1632341616.098367,1,1.2815537452697754
1632341616.62572,1,1.1303426027297974
1632341616.881281,1,1.0266433954238892
1632341617.140317,1,1.073142647743225
1632341617.395719,1,1.240752935409546
1632341617.652709,1,1.0580158233642578
1632341617.908337,1,1.1243294477462769
1632341618.163472,1,1.3062132596969604
1632341618.419932,1,1.2059648036956787
1632341618.674811,1,0.9782971143722534
1632341618.930322,1,1.18211030960083
1632341619.186484,1,1.1285755634307861
1632341619.442605,1,1.220308542251587
1632341619.701564,1,1.0503895282745361
1632341619.957801,1,1.1336820125579834
1632341620.213562,1,1.1931787729263306
1632341620.470941,1,1.3063294887542725
1632341620.726992,1,1.679983139038086
1632341620.98105,1,2.1041595935821533
1632341621.236715,1,1.427586555480957
1632341621.491498,1,1.5680925846099854
1632341621.748367,1,1.6641128063201904
1632341622.003821,1,1.4883452653884888
1632341622.263672,1,1.4240214824676514
1632341622.523996,1,1.3756556510925293
1632341623.065632,1,1.1863471269607544
1632341623.3214,1,1.325270175933838
1632341623.574896,1,1.2511907815933228
1632341623.832548,1,1.1096196174621582
1632341624.088898,1,1.1648612022399902
1632341624.348224,1,1.266674280166626
1632341624.622183,1,1.2129850387573242
1632341624.889609,1,1.132014274597168
1632341625.476697,2,1.182295560836792
1632341625.750126,2,1.2963902950286865
1632341626.036392,2,1.2819633483886719
1632341626.324113,2,1.2648736238479614
1632341626.597804,2,1.1065672636032104
1632341626.897193,2,1.3071887493133545
1632341627.195674,2,1.2200629711151123
1632341627.497878,2,1.1495732069015503
1632341627.776579,2,1.2019513845443726
1632341628.060938,2,1.1505210399627686
1632341628.361045,2,1.1799473762512207
1632341628.660621,2,0.9377018213272095
1632341628.960513,2,1.1559815406799316
1632341629.263166,2,1.0267894268035889
1632341629.555394,2,1.020688772201538
1632341629.844379,2,0.979489803314209
1632341630.486815,2,1.2422194480895996
1632341630.786684,2,1.206011176109314
1632341631.085669,2,1.2169626951217651
1632341631.384346,2,1.3356149196624756
1632341631.682246,2,1.1892261505126953
1632341631.952271,2,1.0629585981369019
1632341632.247771,2,1.3603498935699463
1632341632.552258,2,1.5768442153930664
1632341632.843765,2,1.6991174221038818
